# step	pct_now	best_pct	e	ta_deg	a_km	raan_deg	inc_deg	aop_deg
78	18.010027	25.954493	0.38305337	219.546619	12769.560	0.000	33.869	270.000
79	25.376012	25.954493	0.00000000	92.760139	12769.560	0.000	33.869	270.000
80	18.202854	25.954493	0.38305337	185.434235	12769.560	0.000	33.869	270.000
81	18.665638	25.954493	0.36377069	185.424593	12769.560	0.000	33.869	270.000
82	18.357115	25.954493	0.20950921	335.362965	12769.560	0.000	33.869	270.000
83	18.357115	25.954493	0.20950921	335.362965	12769.560	0.000	33.869	270.000
84	18.742769	25.954493	0.19022653	16.249108	12769.560	0.000	33.869	270.000
85	18.164288	25.954493	0.38305337	16.268391	12769.560	0.000	33.869	270.000
86	18.164288	25.954493	0.38305337	16.278032	12769.560	0.000	33.869	270.000
87	23.949094	25.954493	0.00000000	30.157231	12769.560	0.000	33.869	270.000
88	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
89	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
90	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
91	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
92	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
93	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
94	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
95	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
96	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
97	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
98	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
99	18.125723	25.954493	0.38305337	30.166873	12769.560	0.000	33.869	270.000
