# step	pct_now	best_pct	rp_alt_km	ra_alt_km	ta_deg	raan_deg	inc_deg	aop_deg
62	31.451053	31.474196	7488.039458	7492.779449	1.967137	4.049988	1.000000	94.049988
63	31.451053	31.474196	7487.761745	7492.501736	2.314279	4.397130	1.000000	94.397130
64	31.451053	31.474196	7487.761745	7492.501736	2.314279	4.397130	1.000000	94.397130
65	31.451053	31.474196	7487.761745	7492.501736	2.314279	4.397130	1.000000	94.397130
66	31.474196	31.474196	7487.946887	7492.686878	2.545707	4.628558	1.000000	94.628558
67	31.474196	31.474196	7487.946887	7492.686878	2.545707	4.628558	1.000000	94.628558
68	31.474196	31.474196	7487.761745	7492.501736	2.314279	4.859986	1.000000	94.859986
69	31.497339	31.497339	7487.669174	7492.409165	2.198565	4.744272	1.000000	94.744272
70	31.497339	31.497339	7487.576603	7492.316593	2.082851	4.859986	1.000000	94.859986
71	31.497339	31.497339	7487.576603	7492.316593	2.082851	4.859986	1.000000	94.859986
72	31.497339	31.497339	7487.576603	7492.316593	2.082851	4.859986	1.000000	94.859986
73	31.497339	31.497339	7487.484031	7492.409165	2.198565	4.744272	1.000000	94.744272
74	31.497339	31.497339	7487.669174	7492.594307	1.967137	4.975700	1.000000	94.975700
75	31.497339	31.497339	7487.669174	7492.594307	1.967137	4.975700	1.000000	94.975700
76	31.474196	31.497339	7487.576603	7492.686878	1.851423	4.859986	1.000000	94.859986
77	31.474196	31.497339	7487.576603	7492.686878	1.851423	4.859986	1.000000	94.859986
78	31.474196	31.497339	7487.576603	7492.686878	1.851423	4.859986	1.000000	94.859986
79	31.474196	31.497339	7487.576603	7492.686878	1.851423	4.859986	1.000000	94.859986
80	31.497339	31.497339	7487.669174	7492.594307	1.967137	4.975700	1.000000	94.975700
81	31.474196	31.497339	7487.854316	7492.779449	1.735709	5.207128	1.000000	95.207128
82	31.474196	31.497339	7487.854316	7492.779449	1.735709	5.207128	1.000000	95.207128
83	31.474196	31.497339	7487.854316	7492.779449	1.735709	5.207128	1.000000	95.207128
84	31.474196	31.497339	7487.854316	7492.779449	1.735709	5.207128	1.000000	95.207128
85	31.474196	31.497339	7487.854316	7492.779449	1.735709	5.207128	1.000000	95.207128
86	31.474196	31.497339	7487.854316	7492.779449	1.735709	5.207128	1.000000	95.207128
87	31.474196	31.497339	7487.946887	7492.872020	1.851423	5.091414	1.000000	95.091414
88	31.474196	31.497339	7487.946887	7492.872020	1.851423	5.091414	1.000000	95.091414
89	31.474196	31.497339	7487.946887	7492.872020	1.851423	5.091414	1.000000	95.091414
90	31.520481	31.520481	7488.039458	7492.964592	1.735709	4.975700	1.000000	94.975700
91	31.497339	31.520481	7488.132030	7493.057163	1.851423	4.859986	1.000000	94.859986
92	31.497339	31.520481	7488.132030	7493.057163	1.851423	4.859986	1.000000	94.859986
93	31.497339	31.520481	7488.132030	7493.057163	1.851423	4.859986	1.000000	94.859986
94	31.520481	31.520481	7488.039458	7492.964592	1.735709	4.975700	1.000000	94.975700
95	31.520481	31.520481	7488.132030	7492.872020	1.851423	5.091414	1.000000	95.091414
96	31.520481	31.520481	7488.132030	7492.872020	1.851423	5.091414	1.000000	95.091414
97	31.451053	31.520481	7488.039458	7492.779449	1.735709	4.975700	1.000000	94.975700
98	31.474196	31.520481	7488.132030	7492.872020	1.619995	5.091414	1.000000	95.091414
99	31.497339	31.520481	7488.317172	7493.057163	1.388567	5.322842	1.000000	95.322842
